Time,Coverage
10,10219
20,17201
30,25923
40,36084
50,46829
60,57501
70,67657
80,79714
90,88044
100,104459
110,114979
120,123222
130,128737
140,133650
150,143713
160,150169
170,159953
180,174301
190,179155
200,190947
210,204728
220,213889
230,225385
240,233540
250,242778
260,255765
270,259579
280,266192
290,270736
300,274129
310,283526
320,288294
330,298686
340,308036
350,317893
360,325801
370,334948
380,347084
390,357290
400,366169
410,376086
420,388426
430,399639
440,411729
450,423232
460,434612
470,442855
480,450793
490,461146
500,470453
510,479048
520,489605
530,498009
540,503448
550,511118
560,518027
570,525266
580,531155
590,538800
600,545986
610,553352
620,560665
630,569064
640,576495
650,583778
660,590066
670,598407
680,605213
690,612114
700,619505
710,627340
720,633688
730,641359
740,649892
750,657774
760,666820
770,673946
780,681809
790,689265
800,696649
810,705536
820,713165
830,719568
840,726367
850,734045
860,740671
870,747385
880,755308
890,763642
900,771126
910,777925
920,786006
930,794105
940,801392
950,809237
960,817477
970,824575
980,831766
990,838920
1000,845903
1010,851735
1020,858172
1030,864675
1040,876702
1050,885292
1060,896052
1070,904684
1080,910724
1090,916235
1100,921821
1110,929006
1120,938959
1130,946418
1140,953142
1150,960050
1160,968937
1170,976050
1180,983196
1190,992226
1200,999638
1210,1007379
1220,1013972
1230,1022052
1240,1035007
1250,1041708
1260,1051961
1270,1058577
1280,1066255
1290,1071787
