Time,Coverage
4810,5996040
4820,6007886
4830,6019826
4840,6031642
4850,6043557
4860,6055645
4870,6067564
4880,6079395
4890,6091282
4900,6103166
4910,6114958
4920,6126794
4930,6138730
4940,6150636
4950,6162554
4960,6174473
4970,6186422
4980,6198461
4990,6210255
5000,6222050
5010,6233891
5020,6245606
5030,6257498
5040,6269371
5050,6281224
5060,6293207
5070,6305056
5080,6316813
5090,6328765
5100,6340631
5110,6352491
5120,6364226
5130,6375983
5140,6387889
5150,6399806
5160,6411805
5170,6423741
5180,6435623
5190,6447420
5200,6459378
5210,6471235
5220,6483039
5230,6494876
5240,6506649
5250,6518495
5260,6530298
5270,6542268
5280,6554226
5290,6566135
5300,6577867
5310,6589775
5320,6601680
5330,6613614
5340,6625542
5350,6637456
5360,6649405
5370,6661263
5380,6673143
5390,6684864
5400,6696689
5410,6708577
5420,6720323
5430,6732278
5440,6744050
5450,6755857
5460,6767730
5470,6779518
5480,6791344
5490,6803340
5500,6815109
5510,6826887
5520,6838711
5530,6850501
5540,6862199
5550,6873699
5560,6885476
5570,6897179
5580,6908900
5590,6920611
5600,6932229
5610,6944175
5620,6956071
5630,6967946
5640,6979844
5650,6991641
5660,7003540
5670,7015413
5680,7027122
5690,7038782
5700,7050473
5710,7062399
5720,7074129
5730,7085912
5740,7097756
5750,7109521
5760,7121269
5770,7133133
5780,7144959
5790,7156640
5800,7168422
5810,7180259
5820,7191989
5830,7203915
5840,7215839
5850,7227721
5860,7239624
5870,7251295
5880,7262976
5890,7274857
5900,7286624
5910,7298309
5920,7310136
5930,7322012
5940,7333728
5950,7345527
5960,7357237
5970,7369017
5980,7380763
5990,7392506
6000,7404186
6010,7415916
6020,7427566
6030,7439250
6040,7451075
6050,7462760
6060,7474598
6070,7486345
6080,7498075
6090,7509686
6100,7521579
6110,7533275
6120,7545046
6130,7556831
6140,7568566
6150,7580476
6160,7592429
6170,7604326
6180,7615996
6190,7627712
6200,7639451
6210,7651131
6220,7662855
6230,7674581
6240,7686398
6250,7698278
6260,7709946
6270,7721726
6280,7733531
6290,7745268
6300,7757114
6310,7769001
6320,7780777
6330,7792351
6340,7803921
6350,7815465
6360,7826989
6370,7838650
6380,7850238
6390,7861777
6400,7873311
6410,7884989
6420,7896763
6430,7908442
6440,7920129
6450,7931810
6460,7943479
6470,7955136
6480,7966824
6490,7978367
6500,7989944
6510,8001559
6520,8013233
6530,8024793
6540,8036557
6550,8048244
6560,8059712
6570,8071353
6580,8083155
6590,8094803
6600,8106333
6610,8118002
6620,8129394
6630,8140975
6640,8152529
6650,8164230
6660,8175757
6670,8187476
6680,8199238
6690,8210848
6700,8222401
6710,8234049
6720,8245590
6730,8257282
6740,8268910
6750,8280503
6760,8292205
6770,8303844
6780,8315561
6790,8327118
6800,8338684
6810,8349982
6820,8361595
6830,8373233
6840,8385026
6850,8396663
6860,8408190
6870,8419949
6880,8431525
6890,8443203
6900,8454759
6910,8466351
6920,8478016
6930,8489647
6940,8501202
6950,8512686
6960,8524255
6970,8536002
6980,8547720
6990,8559346
7000,8570959
7010,8582591
7020,8594158
7030,8605600
7040,8617190
7050,8628823
7060,8640550
7070,8652304
7080,8663903
7090,8675554
7100,8687328
7110,8698762
7120,8710263
7130,8721784
7140,8733496
7150,8745134
7160,8756708
7170,8768846
7180,8780923
7190,8792468
7200,8804017
7210,8815497
7220,8827145
7230,8838702
7240,8850375
7250,8862186
7260,8873856
7270,8885393
7280,8897140
7290,8908784
7300,8920174
7310,8931876
7320,8943637
7330,8955400
7340,8967170
7350,8978938
7360,8990596
7370,9002145
7380,9013800
7390,9025449
7400,9037130
7410,9048647
7420,9060290
7430,9071862
7440,9083448
7450,9095034
7460,9106626
7470,9118139
7480,9129668
7490,9141216
7500,9152779
7510,9164499
7520,9176037
7530,9187869
7540,9199509
7550,9211052
7560,9222304
7570,9233959
7580,9245686
7590,9257316
7600,9268802
7610,9280460
7620,9292019
7630,9303721
7640,9315334
7650,9326852
7660,9338384
7670,9349993
7680,9361605
7690,9373098
7700,9384814
7710,9396490
7720,9408200
7730,9419835
7740,9431382
7750,9443041
7760,9454817
7770,9466428
7780,9478044
7790,9489621
7800,9501311
7810,9512868
7820,9524467
7830,9536026
7840,9547606
7850,9559053
7860,9570495
7870,9582035
7880,9593729
7890,9605327
7900,9616846
7910,9628387
7920,9640102
7930,9651710
7940,9663413
7950,9675085
7960,9686890
7970,9698360
7980,9709937
7990,9721424
8000,9733174
8010,9744906
8020,9756508
8030,9767957
8040,9779652
8050,9791338
8060,9802978
8070,9814666
8080,9826351
8090,9837853
8100,9849335
8110,9860844
8120,9872584
8130,9884038
8140,9895717
8150,9907575
8160,9919062
8170,9930672
8180,9942376
8190,9954018
8200,9965485
8210,9977060
8220,9988506
8230,10000141
8240,10011564
8250,10023236
8260,10034965
8270,10046482
8280,10058194
8290,10069744
8300,10081225
8310,10092862
8320,10104250
8330,10115877
8340,10127646
8350,10139282
8360,10150851
8370,10162550
8380,10174341
8390,10185833
8400,10197395
8410,10208994
8420,10220507
8430,10232228
8440,10243789
8450,10255296
8460,10266915
8470,10278579
8480,10290078
8490,10301626
8500,10313066
8510,10324849
8520,10336547
8530,10348033
8540,10359707
8550,10371434
8560,10383145
8570,10394772
8580,10406398
8590,10417951
8600,10429363
8610,10441293
8620,10453084
8630,10464815
8640,10476589
8650,10488424
8660,10500255
8670,10512084
8680,10523933
8690,10535246
8700,10546839
8710,10558277
8720,10569771
8730,10581407
8740,10592745
8750,10604066
8760,10615432
8770,10626924
8780,10638512
8790,10649985
8800,10661504
8810,10673067
8820,10684505
8830,10695942
8840,10707604
8850,10719028
8860,10730516
8870,10742109
8880,10753697
8890,10765107
8900,10776562
8910,10788002
8920,10799519
8930,10811109
8940,10822858
8950,10834521
8960,10846172
8970,10857626
8980,10869278
8990,10880927
9000,10892367
9010,10903673
9020,10915418
9030,10927085
9040,10938655
9050,10950242
9060,10962054
9070,10973785
9080,10985391
9090,10996853
9100,11008574
9110,11020210
9120,11031866
9130,11043579
9140,11055127
9150,11066629
9160,11078233
9170,11089869
9180,11101620
9190,11113251
9200,11124948
9210,11136542
9220,11148101
9230,11159646
9240,11171286
9250,11182931
9260,11194122
9270,11205819
9280,11217362
9290,11229075
9300,11240697
9310,11252420
9320,11263960
9330,11275555
9340,11287169
9350,11298829
9360,11310300
9370,11321765
9380,11333376
9390,11344836
9400,11356325
9410,11367677
9420,11379064
9430,11390479
9440,11401892
9450,11413481
9460,11425047
9470,11436654
9480,11448019
9490,11459482
9500,11471091
9510,11482691
9520,11494129
9530,11505689
9540,11517327
9550,11528738
9560,11540401
9570,11552088
9580,11563724
9590,11575159
9600,11586691
9610,11598180
9620,11609684
9630,11621006
9640,11632388
9650,11643883
9660,11655355
9670,11666885
9680,11678265
9690,11689847
9700,11701396
9710,11712709
9720,11724138
9730,11735687
9740,11747352
9750,11758850
9760,11770319
9770,11781772
9780,11793168
9790,11804605
9800,11816086
9810,11827660
9820,11839212
9830,11850857
9840,11862370
9850,11873775
9860,11885460
9870,11897128
9880,11908677
9890,11919990
9900,11931482
9910,11942923
9920,11954464
9930,11966040
9940,11977422
9950,11988945
9960,12000433
9970,12011944
9980,12023387
9990,12034837
10000,12046278
10010,12057904
10020,12069252
10030,12080938
10040,12092422
10050,12103931
10060,12115298
10070,12126738
10080,12138201
10090,12149663
10100,12161146
10110,12172660
10120,12184116
10130,12195517
10140,12206963
10150,12218463
10160,12229916
10170,12241382
10180,12252960
10190,12264351
10200,12275726
10210,12287165
10220,12298621
10230,12310193
10240,12321670
10250,12333125
10260,12344519
10270,12356220
10280,12367842
10290,12379455
10300,12390867
10310,12402326
10320,12413693
10330,12425068
10340,12436426
10350,12448045
10360,12459416
10370,12470905
10380,12482344
10390,12494163
10400,12505511
10410,12516985
10420,12528588
10430,12540197
10440,12551735
10450,12563334
10460,12574726
10470,12586250
10480,12597782
10490,12609354
10500,12620861
10510,12632470
10520,12644069
10530,12655368
10540,12666869
10550,12678400
10560,12689911
10570,12701469
10580,12712752
10590,12724128
10600,12735526
10610,12747087
10620,12758471
10630,12770190
10640,12781591
10650,12793179
10660,12804527
10670,12815947
10680,12827247
10690,12838873
10700,12850298
10710,12861532
10720,12872832
10730,12884203
10740,12895737
10750,12907025
10760,12918422
10770,12929792
10780,12941138
10790,12952536
10800,12963982
10810,12975483
10820,12986982
10830,12998462
10840,13009855
10850,13021324
10860,13032660
10870,13044232
10880,13055683
10890,13067198
10900,13078664
10910,13090342
10920,13101782
10930,13113354
10940,13124850
10950,13136316
10960,13147971
10970,13159396
10980,13170919
10990,13182403
11000,13193920
11010,13205473
11020,13216861
11030,13228185
11040,13239839
11050,13251371
11060,13262933
11070,13274246
11080,13285654
11090,13296996
11100,13308417
11110,13319864
11120,13331194
11130,13342601
11140,13354066
11150,13365638
11160,13377026
11170,13388437
11180,13399897
11190,13411552
11200,13423009
11210,13434479
11220,13445973
11230,13457392
11240,13468917
11250,13480388
11260,13491795
11270,13503366
11280,13514861
11290,13526203
11300,13537581
11310,13548995
11320,13560446
11330,13572037
11340,13583603
11350,13595258
11360,13606853
11370,13618428
11380,13630021
11390,13641527
11400,13653199
11410,13664699
11420,13676102
11430,13687534
11440,13698848
11450,13710352
11460,13721962
11470,13733626
11480,13745197
11490,13756790
11500,13768129
11510,13779623
11520,13790975
11530,13802473
11540,13814080
11550,13825627
11560,13837245
11570,13848686
11580,13860221
11590,13871527
11600,13883095
11610,13894349
11620,13905730
11630,13917184
11640,13928591
11650,13940034
11660,13951428
11670,13962902
11680,13974268
11690,13985595
11700,13996962
11710,14008539
11720,14020176
11730,14031813
11740,14043328
11750,14054580
11760,14066122
11770,14077668
11780,14089241
11790,14100758
11800,14112110
11810,14123300
11820,14134639
11830,14145972
11840,14157463
11850,14168875
11860,14180347
11870,14191817
11880,14203132
11890,14214503
11900,14225761
11910,14237166
11920,14248617
11930,14259901
11940,14271148
11950,14282574
11960,14293872
11970,14305212
11980,14316490
11990,14327969
12000,14339345
12010,14350915
12020,14362383
12030,14373864
12040,14385263
12050,14396634
12060,14408040
12070,14419636
12080,14430995
12090,14442446
12100,14453662
12110,14465059
12120,14476407
12130,14487859
12140,14499420
12150,14510996
12160,14522390
12170,14533815
12180,14545503
12190,14557428
12200,14568765
12210,14580167
12220,14591523
12230,14602807
12240,14614148
12250,14625490
12260,14636907
12270,14648059
12280,14659586
12290,14670935
12300,14682442
12310,14693831
12320,14705160
12330,14716550
12340,14727819
12350,14739223
12360,14750562
12370,14762009
12380,14773552
12390,14784903
12400,14796454
12410,14807940
12420,14819592
12430,14830936
12440,14842328
12450,14853897
12460,14865346
12470,14876807
12480,14888103
12490,14899398
12500,14910517
12510,14921903
12520,14933338
12530,14944740
12540,14955991
12550,14967242
12560,14978658
12570,14990100
12580,15001436
12590,15012729
12600,15024087
12610,15035428
12620,15047036
12630,15058583
12640,15069957
12650,15081588
12660,15093081
12670,15104597
12680,15116215
12690,15127556
12700,15138925
12710,15150310
12720,15161725
12730,15173180
12740,15184650
12750,15196099
12760,15207432
12770,15218905
12780,15230300
12790,15241655
12800,15253136
12810,15264681
12820,15276034
12830,15287490
12840,15298802
12850,15310184
12860,15321596
12870,15333257
12880,15344630
12890,15356223
12900,15367612
12910,15379077
12920,15390530
12930,15401883
12940,15413287
12950,15424728
12960,15436231
12970,15447791
12980,15459198
12990,15470619
13000,15482123
13010,15493451
13020,15504960
13030,15516527
13040,15528021
13050,15539513
13060,15550964
13070,15562284
13080,15573690
13090,15585221
13100,15596616
13110,15608077
13120,15619536
13130,15630897
13140,15642523
13150,15653838
13160,15665263
13170,15676848
13180,15688457
13190,15699745
13200,15711007
13210,15722404
13220,15733761
13230,15745188
13240,15756408
13250,15768045
13260,15779335
13270,15790890
13280,15802267
13290,15813746
13300,15825241
13310,15836771
13320,15848213
13330,15859740
13340,15871219
13350,15882588
13360,15893962
13370,15905440
13380,15916874
13390,15928267
13400,15939731
13410,15951189
13420,15962484
13430,15973762
13440,15985113
13450,15996375
13460,16007711
13470,16019346
13480,16030443
13490,16041834
13500,16053204
13510,16064349
13520,16075769
13530,16087260
13540,16098495
13550,16109805
13560,16121198
13570,16132579
13580,16144034
13590,16155435
13600,16166656
13610,16178197
13620,16189593
13630,16200936
13640,16212423
13650,16224062
13660,16235574
13670,16246953
13680,16258214
13690,16269670
13700,16280987
13710,16292527
13720,16304189
13730,16315552
13740,16327081
13750,16338558
13760,16349798
13770,16361239
13780,16372620
13790,16384160
13800,16395375
13810,16406829
13820,16418391
13830,16430038
13840,16441509
13850,16453026
13860,16464486
13870,16475934
13880,16487465
13890,16498964
13900,16510403
13910,16521754
13920,16533078
13930,16544643
13940,16555919
13950,16567562
13960,16579144
13970,16590607
13980,16602049
13990,16613681
14000,16625125
14010,16636312
14020,16647596
14030,16658838
14040,16670011
14050,16681355
14060,16692488
14070,16703940
14080,16715242
14090,16726674
14100,16737771
14110,16749128
14120,16760497
14130,16771623
14140,16782945
14150,16794348
14160,16805671
14170,16816897
14180,16828046
14190,16839222
14200,16850418
14210,16861719
14220,16873006
14230,16884354
14240,16895535
14250,16906817
14260,16918248
14270,16929566
14280,16940938
14290,16952219
14300,16963508
14310,16974806
14320,16986266
14330,16997548
14340,17008860
14350,17020096
14360,17031330
14370,17042605
14380,17053969
14390,17065289
14400,17076612
14410,17087908
14420,17099319
14430,17110604
14440,17121880
14450,17133132
14460,17144392
14470,17155710
14480,17166933
14490,17178208
14500,17189313
14510,17200373
14520,17211586
14530,17222638
14540,17233939
14550,17245368
14560,17256727
14570,17267904
14580,17279273
14590,17290572
14600,17301582
14610,17312558
14620,17323651
14630,17335170
14640,17346642
14650,17357910
14660,17369202
14670,17380511
14680,17391737
14690,17403023
14700,17414525
14710,17425786
14720,17437037
14730,17448285
14740,17459654
14750,17470937
14760,17482204
14770,17493646
14780,17504993
14790,17516386
14800,17527511
14810,17538794
14820,17549978
14830,17561447
14840,17572653
14850,17584051
14860,17595192
14870,17606528
14880,17618058
14890,17629339
14900,17640624
14910,17652053
14920,17663403
14930,17674689
14940,17685939
14950,17697280
14960,17708691
