Time,Coverage,Density,Rate(ins),Rate(per),Rate(avg)
1460,1289858,0.96,822,31.24,883,34.39
1470,1297751,0.96,789,29.32,882,34.36
1480,1305977,0.97,822,30.97,882,34.33
1490,1314467,0.97,849,32.41,882,34.32
1500,1321486,0.98,701,26.14,880,34.26
1510,1329604,0.99,811,30.60,880,34.24
1520,1337789,0.99,818,30.63,880,34.21
1530,1347161,1.00,937,36.64,880,34.23
1540,1353737,1.00,657,25.28,879,34.17
1550,1361662,1.01,792,30.11,878,34.14
1560,1370217,1.02,855,32.77,878,34.14
1570,1377646,1.02,742,27.66,877,34.09
1580,1384910,1.03,726,27.50,876,34.05
1590,1393697,1.03,878,33.62,876,34.05
1600,1401508,1.04,781,30.23,875,34.02
1610,1409472,1.04,796,30.45,875,34.00
1620,1416827,1.05,735,28.21,874,33.96
1630,1424203,1.06,737,28.26,873,33.93
1640,1431745,1.06,754,30.36,873,33.91
1650,1439993,1.07,824,31.13,872,33.89
1660,1447639,1.07,764,29.37,872,33.86
1670,1456059,1.08,842,32.64,871,33.86
1680,1463871,1.08,781,29.18,871,33.83
1690,1472590,1.09,871,33.09,871,33.82
1700,1479826,1.10,723,27.95,870,33.79
1710,1489203,1.10,937,36.54,870,33.80
1720,1496805,1.11,760,28.43,870,33.77
1730,1504284,1.11,747,28.71,869,33.74
1740,1512244,1.12,796,30.13,869,33.72
1750,1519989,1.13,774,29.34,868,33.69
1760,1528479,1.13,849,32.22,868,33.69
1770,1537035,1.14,855,32.74,868,33.68
1780,1544907,1.14,787,29.60,867,33.66
1790,1552213,1.15,730,27.40,867,33.62
1800,1559802,1.16,758,28.59,866,33.59
1810,1567441,1.16,763,29.13,865,33.57
1820,1575719,1.17,827,31.04,865,33.55
1830,1582917,1.17,719,27.00,864,33.52
1840,1592341,1.18,942,35.40,865,33.53
1850,1601952,1.19,961,35.81,865,33.54
1860,1609608,1.19,765,28.80,865,33.51
1870,1617295,1.20,768,28.85,864,33.49
1880,1625439,1.20,814,31.53,864,33.48
1890,1633999,1.21,856,32.95,864,33.47
1900,1639571,1.21,557,21.41,862,33.41
1910,1648449,1.22,887,34.93,863,33.42
1920,1652969,1.22,452,32.20,860,33.41
1930,1659510,1.23,654,31.49,859,33.41
1940,1666922,1.23,741,39.08,859,33.43
1950,1673409,1.24,648,27.25,858,33.40
1960,1680620,1.24,721,28.47,857,33.37
1970,1689760,1.25,914,37.78,857,33.39
1980,1695887,1.26,612,22.80,856,33.34
1990,1702746,1.26,685,27.36,855,33.31
2000,1710913,1.27,816,31.48,855,33.30
2010,1719560,1.27,864,32.79,855,33.30
2020,1727595,1.28,803,30.55,855,33.28
2030,1736248,1.29,865,32.86,855,33.28
2040,1745073,1.29,882,33.55,855,33.28
2050,1756503,1.30,1143,42.89,856,33.33
2060,1767591,1.31,1108,43.27,858,33.38
2070,1780743,1.32,1315,49.26,860,33.46
2080,1790903,1.33,1016,39.53,861,33.49
2090,1799725,1.33,882,33.06,861,33.49
2100,1807490,1.34,776,29.29,860,33.47
2110,1816098,1.34,860,32.57,860,33.46
2120,1824621,1.35,852,44.73,860,33.50
2130,1832052,1.36,743,28.33,860,33.48
2140,1839715,1.36,766,28.88,859,33.45
2150,1846929,1.37,721,27.59,859,33.43
2160,1856091,1.37,916,34.65,859,33.43
2170,1864966,1.38,887,36.82,859,33.45
2180,1875729,1.39,1076,42.03,860,33.49
2190,1883277,1.39,754,32.12,859,33.48
2200,1890675,1.40,739,29.24,859,33.46
2210,1893947,1.40,327,24.28,856,33.44
2220,1901495,1.41,754,38.19,856,33.46
2230,1909524,1.41,802,29.97,856,33.44
2240,1917635,1.42,811,30.91,856,33.43
2250,1925740,1.42,810,33.83,855,33.43
2260,1933605,1.43,786,30.29,855,33.42
2270,1942887,1.44,928,39.28,855,33.44
2280,1951871,1.44,898,40.15,856,33.47
2290,1958473,1.45,660,29.68,855,33.45
2300,1966128,1.45,765,29.13,854,33.43
2310,1977080,1.46,1095,44.00,855,33.48
2320,1988433,1.47,1135,43.38,857,33.52
